# 未分类频道列表 (按源分类分组)

未分类,#genre#
4K影视,http://111.162.207.1:8686/udp/225.1.2.190:5002
4K影视,http://117.12.148.39:4022/udp/225.1.2.190:5002
4K影视,http://117.8.142.10:8834/udp/225.1.2.190:5002
4K影视,http://117.8.142.127:8834/udp/225.1.2.190:5002
4K影视,http://221.196.34.247:4022/udp/225.1.2.190:5002
4K测试,http://106.42.108.91:2000/rtp/239.16.20.238:12380
4K测试,http://123.101.98.200:2000/rtp/239.16.20.238:12380
4K私享家,http://221.196.34.247:4022/udp/225.1.1.156:5002
4K超清[超清],http://114.243.156.93:8888/rtp/239.3.1.249:8001
4K超清[超清],http://123.113.14.115:8012/rtp/239.3.1.249:8001
4K超清[超清],http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.249:8001
BRTV体育频道,http://1.203.77.96:8899/udp/225.1.8.23:8002
BRTV冬奥纪实[HDR],http://114.243.156.93:8888/rtp/239.3.1.120:8000
BRTV冬奥纪实[HDR],http://123.113.14.115:8012/rtp/239.3.1.120:8000
BRTV冬奥纪实[HDR],http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.120:8000
BRTV冬奥纪实[超清],http://114.243.156.93:8888/rtp/239.3.1.121:8000
BRTV冬奥纪实[超清],http://123.113.14.115:8012/rtp/239.3.1.121:8000
BRTV冬奥纪实[超清],http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.121:8000
BRTV影视频道,http://1.203.77.96:8899/udp/225.1.8.82:8000
BRTV文艺频道,http://1.203.77.96:8899/udp/225.1.8.22:8002
BRTV新闻频道,http://1.203.77.96:8899/udp/225.1.8.83:8000
BRTV生活频道,http://1.203.77.96:8899/udp/225.1.8.108:8002
BRTV科教频道,http://1.203.77.96:8899/udp/225.1.8.105:8002
BRTV财经频道,http://1.203.77.96:8899/udp/225.1.8.106:8002
BTV国际频道,http://114.243.156.93:8888/rtp/239.3.1.235:8000
BTV国际频道,http://123.113.14.115:8012/rtp/239.3.1.235:8000
BTV国际频道,http://beijing_unicom_udpxy_114_254_2222_1.isus.cc:2222/rtp/239.3.1.235:8000
BesTV,http://183.141.216.3:9999/rtp/233.50.201.201:5140
BesTV百变课堂,http://171.35.84.45:8688/udp/239.252.220.123:5140
BesTV看天下,http://42.92.195.108:10000/udp/239.255.30.217:8231
BestTV测试1 4K,http://111.175.164.168:8888/rtp/239.69.1.26:9796
BestTV测试1 4K,http://111.175.166.209:8686/rtp/239.69.1.26:9796
