央视频道,#genre#
CCTV5,https://t.freetv.fun/live/cctv-5-1.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-2.m3u8
CCTV13,https://t.freetv.fun/live/cctv-13hd.m3u8
CCTV14,https://t.freetv.fun/live/cctv14shao-er-1.m3u8
CCTV 9 (576i),https://xykt-fix.github.io/Y77.m3u8

卫视频道,#genre#
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-22.m3u8
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-15.m3u8
甘肃卫视,https://t.freetv.fun/live/gan-su-wei-shi-12.m3u8
内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi-3.m3u8
宁夏卫视,https://t.freetv.fun/live/zhu-xia-wei-shi-4.m3u8
山西卫视,https://t.freetv.fun/live/shan-xi-wei-shi-1.php
陕西卫视,https://t.freetv.fun/live/shan-xi-wei-shi-3-1.m3u8
陕西卫视,https://t.freetv.fun/live/shan-xi-wei-shi-7.m3u8
陕西卫视,https://t.freetv.fun/live/shan-xi-wei-shi-8.m3u8
厦门卫视,https://t.freetv.fun/live/sha-men-wei-shi-1.m3u8

港·澳·台,#genre#
TVBS亚洲,https://t.freetv.fun/live/tvbsya-zhou-4.m3u8
TVBS亚洲,https://t.freetv.fun/live/tvbsya-zhou-7.m3u8
纬来体育,https://t.freetv.fun/live/wei-lai-ti-yu.m3u8
DW News,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/stream05/streamPlaylist.m3u8

🎬电影频道,#genre#
CHC家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan-9.m3u8
淘电影,https://t.freetv.fun/live/tao-dian-ying-3.m3u8
CHC影迷电影,https://t.freetv.fun/live/chcying-mi-dian-ying-7.m3u8
CHC影迷电影,https://t.freetv.fun/live/chcying-mi-dian-ying-6.m3u8
CHC影迷电影,https://t.freetv.fun/live/chcying-mi-dian-ying-10.m3u8
CHC影迷电影,https://t.freetv.fun/live/chcying-mi-dian-ying-9.m3u8
CHC影迷电影,https://t.freetv.fun/live/chcying-mi-dian-ying-2.m3u8
苏州电影娱乐,https://t.freetv.fun/live/su-zhou-yu-le.m3u8
苏州电影娱乐,https://t.freetv.fun/live/su-zhou-dian-ying-yu-le-xin-xi-1.flv

🏀体育频道,#genre#
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-11.m3u8
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-21.m3u8
五星体育,https://t.freetv.fun/live/wu-xing-ti-yu-3.m3u8
五星体育,https://t.freetv.fun/live/wu-xing-ti-yu-4.m3u8
风云足球,https://t.freetv.fun/live/cctv-feng-yun-zu-qiu-2.m3u8

🪁动画频道,#genre#
动漫秀场,https://t.freetv.fun/live/dong-man-xiu-chang-4.m3u8
优漫卡通,https://t.freetv.fun/live/you-man-qia-tong-3.m3u8
金鹰卡通,https://t.freetv.fun/live/jin-ying-qia-tong.m3u8
炫动卡通,https://t.freetv.fun/live/ha-ha-xuan-dong-4.m3u8
炫动卡通,https://t.freetv.fun/live/ha-ha-xuan-dong-5.m3u8
炫动卡通,https://t.freetv.fun/live/ha-ha-xuan-dong-6.m3u8

在线广播,#genre#
美国中文电台,http://radiokest.serverroom.us:6670/;stream.mp3
